Folder Mode ResultCount CacheHits Time1 Time2 Time3 TimeAvg
360      185      180          0          0m0.870s   0m0.659s   0m0.735s   0m0.755s
361      185      1342         1340       0m0.589s   0m0.702s   0m0.741s   0m0.677s
362      186      10854        0          1m37.907s  1m46.836s  1m57.483s  1m47.409s
363      186      59825        57917      1m47.945s  1m45.831s  1m38.747s  1m44.174s
364      187      6            0          0m0.429s   0m0.394s   0m0.491s   0m0.438s
365      187      12           8          0m0.344s   0m0.368s   0m0.447s   0m0.386s
366      188      1126         0          0m2.831s   0m5.403s   0m2.210s   0m3.481s
367      188      13276        13274      0m1.797s   0m1.749s   0m1.856s   0m1.801s
368      189      9            0          0m31.766s  0m31.084s  0m47.015s  0m36.622s
369      189      9            0          0m30.324s  0m32.598s  0m31.571s  0m31.498s
370      190      86           0          0m0.573s   0m0.523s   0m0.552s   0m0.549s
371      190      562          560        0m0.428s   0m0.500s   0m0.463s   0m0.464s
372      191      924          0          0m2.293s   0m2.226s   0m1.596s   0m2.038s
373      191      10304        10302      0m1.337s   0m1.559s   0m1.227s   0m1.374s
376      193      85           0          0m0.522s   0m0.567s   0m0.740s   0m0.610s
377      193      537          535        0m0.477s   0m0.764s   0m0.491s   0m0.577s
378      194      46           0          0m0.409s   0m0.411s   0m0.588s   0m0.469s
379      194      46           0          0m0.452s   0m0.493s   0m0.497s   0m0.481s
380      195      148          0          0m0.651s   0m0.837s   0m0.771s   0m0.753s
381      195      1060         1058       0m0.625s   0m0.598s   0m0.566s   0m0.596s
382      196      2            0          0m0.419s   0m0.384s   0m0.506s   0m0.436s
383      196      2            0          0m0.406s   0m0.460s   0m0.455s   0m0.440s
384      197      2            0          0m0.388s   0m0.332s   0m0.491s   0m0.404s
385      197      2            0          0m0.371s   0m0.306s   0m0.305s   0m0.327s
386      198      5            0          0m7.869s   0m8.102s   0m5.515s   0m7.162s
387      198      5            0          0m4.199s   0m4.610s   0m4.289s   0m4.366s
388      199      48           0          0m1.337s   0m1.401s   0m2.585s   0m1.774s
389      199      48           0          0m1.872s   0m1.893s   0m1.837s   0m1.867s
390      200      57           0          0m0.493s   0m0.436s   0m0.780s   0m0.570s
391      200      314          312        0m0.420s   0m0.432s   0m0.552s   0m0.468s
392      201      534          0          0m1.447s   0m1.474s   0m1.078s   0m1.333s
393      201      5337         5335       0m0.985s   0m0.859s   0m0.891s   0m0.912s
394      202      2            0          0m0.272s   0m0.340s   0m0.439s   0m0.350s
395      202      2            0          0m0.345s   0m0.273s   0m0.350s   0m0.323s
396      203      187          0          0m0.667s   0m0.775s   0m0.661s   0m0.701s
